#Tanggal;Value
"2018-11-16 07:00:00";8300.0
"2018-11-19 07:00:00";8400.0
"2018-11-21 07:00:00";8250.0
"2018-11-22 07:00:00";8400.0
"2018-11-23 07:00:00";8425.0
"2018-11-26 07:00:00";8425.0
"2018-11-27 07:00:00";8650.0
"2018-11-28 07:00:00";8550.0
"2018-11-29 07:00:00";8775.0
"2018-11-30 07:00:00";8500.0
"2018-12-03 07:00:00";8750.0
"2018-12-04 07:00:00";8800.0
"2018-12-05 07:00:00";8750.0
"2018-12-06 07:00:00";8650.0
"2018-12-07 07:00:00";8575.0
"2018-12-10 07:00:00";8575.0
"2018-12-11 07:00:00";8450.0
